,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
710,NE,N,0.1,663,40,201302151400,19.0,0.0,0.0,어린이불장난,울산,201302151320,서부,울산,산257-59, ,동,금, ,1.0,10,74.6,92.0,9.4,3.4,5.4
711,W,S,0.1,860,36,201302131310,29.0,0.0,0.0,밭두렁소각,부산,201302131234,금성,부산,산90, ,금정,수, ,3.5,8,81.3,94.0,5.3,2.5,2.6
712,NNW,W,0.05,5194,115,201301301710,33.0,0.0,0.0,담뱃불실화,경북,201301301555,고경,경북,산17,칠전,영천,수, ,1.5,7,60.6,78.0,12.0,1.5,2.1
713,W,S,0.1,410,115,201301281445,25.0,0.0,0.0,건축물화재비화,경북,201301281330,영양,경북,산73,동부,영양,월, ,0.5,5,62.4,73.0,0.1,5.1,5.2
714,N,NNE,0.01,0,30,201301141600,17.0,0.0,0.0,논밭두렁소각,부산,201301141530,장안,부산,산165-3,덕선,기장,월, ,1.0,12,66.0,92.0,6.4,3.7,6.6
715,WSW,SSE,0.1,2507,210,201301121850,49.0,0.0,0.0,쓰레기소각,강원,201301121640,강현,강원,산88,용호,양양,토, ,0.2,13,54.2,92.0,4.7,5.4,3.3
716,NW,N,0.3,1189,100,201301111620,24.0,0.0,0.0,논밭두렁소각,전남,201301111520,계곡,전남,산118-1,신평,해남,금, ,2.0,11,51.8,64.0,4.6,2.8,3.9
717,NNW,N,0.5,0,305,201301081745,52.0,0.0,0.0,낚시꾼실화,제주,201301081440,추자,제주,산160,대서리,제주,화, ,11.4,9,0.0,0.0,6.6,3.8,7.1
718,NNE,NNW,0.3,0,200,201301081400,40.0,0.0,0.0,작업장실화,전남,201301081200,약산,전남,산10-2,득암,완도,화, ,1.7,9,81.7,92.0,4.1,3.5,7.3
719,NE,E,0.2,0,500,201212261730,0.0,0.0,23.0,쓰레기소각,강원,201212261230,가곡, ,산41 외 1,오목,삼척,수,사,0.5,11,74.8,89.0,-2.5,2.3,2.9
720,E,SSE,0.25,0,149,201212011630,45.3,0.0,33.0,입산자실화,경남,201212011441,웅양, ,산19,죽림,거창,토,사,3.5,6,63.1,72.0,5.2,1.5,3.6
721,N,SSW,0.01,0,50,201211271320,57.4,0.0,27.0,입산자실화,강원,201211271230,신동,강원,산13-4, ,춘천,화,사,4.3,8,68.9,72.0,1.6,0.8,1.0
722,WSW,S,0.01,1497,110,201211191920,42.1,0.0,34.0,입산자실화,경북,201211191810,창수, ,산42,신리,영덕,월,사,1.5,3,72.2,87.0,8.6,2.1,3.2
723,SE,SE,1.0,3459,230,201211101530,61.6,0.0,53.0,입산자실화,전남,201211101300,구례, ,산66,봉서,구례,토,사,42.5,7,58.6,63.0,14.3,8.0,6.0
724,NNE,NE,0.04,0,500,201211100900,69.7,0.0,63.0,등산객실화,충북,201211100400,초평, ,산13,은암,진천,토,사,5.5,4,30.8,40.0,11.6,2.1,0.2
725,ENE,ESE,0.1,0,150,201211031700,47.7,0.0,32.0,입산자실화,경북,201211031510,장천,경북,산210-1,오로,구미,토,사,4.5,4,56.2,63.0,16.2,1.2,2.0
726,S,NNW,0.03,939,153,201210211505,53.3,0.0,40.0,입산자실화,강원,201210211312,문막, ,산65-1,포진,원주,일,사,4.5,4,0.0,0.0,21.4,1.7,0.9
727,EWE,ENE,0.1,0,711,201210160210,35.7,0.0,38.0,원인미상,서울,201210152121,불암,서울,산37-8, ,노원,월,사,13.0,5,0.0,0.0,14.4,1.8,1.2
728,NE,NW,0.01,0,153,201210151652,57.4,0.0,32.0,원인미상,대전,201210151459,용운, ,11월 01일, ,동,월,사,0.9,26,0.0,0.0,19.7,2.0,2.3
729,N,NS,0.01,727,47,201210141515,45.1,0.0,54.0,입산자실화,강원,201210141428,설악,강원,산23, ,속초,일,사,0.5,8,83.3,94.0,19.9,3.8,1.5
730,W,WSW,0.01,88,240,201210121730,49.4,0.0,31.0,입산자실화,경남,201210121450,장유, ,산38 외 1,대청리,김해,금,사,63.5,25,82.5,94.0,21.8,2.3,2.7
731,N,NNE,0.1,6450,400,201210111100,56.9,0.0,66.0,쓰레기소각,경남,201210110700,삼산, ,산355,두포,고성,목,사,78.5,24,70.3,92.0,12.1,1.6,2.6
732,NE,NNE,0.05,0,327,201210081510,47.2,0.0,38.0,등산객실화,부산,201210081143,광안, ,산35-2, ,수영구,월,사,0.5,2,79.9,88.0,22.1,2.7,12.8
733,W,ENE,0.2,0,550,201210071950,62.9,0.0,32.0,원인미상,전북,201210071400,비봉, ,산61-1,백도,완주,일,사,55.5,21,86.2,94.0,25.1,2.0,1.4
734,S,ESE,0.05,0,205,201210071210,69.8,0.0,72.0,입산자실화,전북,201210071005,산내, ,산24-1,장항,남원,일,사,71.0,21,53.6,90.0,17.1,1.0,3.1
735,ENE,W,0.03,0,120,201210011630,48.9,0.0,30.0,등산객실화,경북,201210011510,남천,경북,산76,산전,경산,월,사,93.5,15,83.5,94.0,24.2,1.8,2.6
736,NNW,E,0.09,4618,430,201209261530,67.0,0.0,59.0,원인미상,경남,201209261100,삼산, ,산169,병산,고성,수,사,78.5,9,90.0,94.0,22.6,4.3,2.5
737,NNW,NNW,0.2,803,130,201208051730,60.0,0.0,47.0,입산자실화,전북,201208051600,내흥,전북,124-13, ,군산,일,사,1.3,14,53.0,56.0,36.1,2.2,4.1
738,N,ENE,0.07,0,100,201208051340,51.6,0.0,45.0,원인미상,충남,201208051240,신풍, ,산36,평소,공주,일,사,0.5,14,51.0,56.0,33.5,1.9,2.8
739,E,E,0.1,0,230,201208031930,51.2,0.0,38.0,입산자실화,전북,201208031700,무주, ,산8,가옥,무주,금,사,2.0,12,51.3,56.0,34.4,2.2,4.1
740,E,S,0.09,1000,20,201206291310,58.9,0.0,65.0,입산자실화,부산,201206291250,지사,부산,산35, ,강서,금,사,1.0,3,77.5,87.0,25.2,1.4,4.2
741,NNE,NE,0.2,5432,335,201206290935,47.9,0.0,77.0,입산자실화,강원,201206290600,부론, ,산97-7,노림,원주,금,사,2.5,17,27.8,38.0,21.0,1.1,0.2
742,ENW,E,0.1,0,833,201206271130,49.9,0.0,64.0,원인미상,경기,201206270257,비봉,경기,산127,청요,화성,수,사,4.5,30,67.1,86.0,20.7,3.4,2.6
743,N,NE,0.2,509,410,201206261900,57.3,0.0,51.0,등삭객실화,전북,201206261450,회현,전북,산127,세장,군산,화,사,0.5,16,84.4,92.0,27.3,2.9,6.7
744,ENE,N,0.03,0,101,201206261350,41.1,0.0,34.0,원인미상,서울,201206261249,중곡,서울,143-134, ,광진,화,사,2.0,18,80.3,84.0,28.5,4.1,4.7
745,ENE,SE,0.03,0,345,201206251600,58.5,0.0,43.0,무속인실화,충남,201206251215,구항, ,산44-1,대정,홍성,월,사,2.9,17,86.0,94.0,28.5,3.1,3.0
746,ESE,E,0.5,150,350,201206251600,50.1,0.0,39.0,농산폐기물소각,충남,201206251210,대흥,충남,산51-1,대률,예산,월,사,14.0,12,84.5,94.0,27.6,5.1,4.7
747,SE,N,0.05,4528,643,201206251040,53.4,0.0,69.0,입산자실화,경기,201206250357,장흥,경기,산66-5,울대,양주,월,사,20.5,6,82.4,94.0,21.7,1.9,5.6
748,E,ENE,0.01,0,150,201206241830,60.3,0.0,45.0,입산자실화,충남,201206241640,남양, ,산30,온암,청양,일,사,0.5,12,85.7,94.0,27.6,4.3,3.9
749,ENE,ENE,0.8,4435,240,201206271800,49.3,0.0,58.0,등산객실화,충남,201206241520,해미,충남,산6,산수,서산,일,사,2.9,16,79.5,87.0,28.7,2.9,12.3
750,WNW,NNW,0.05,1065,210,201206231530,0.0,0.0,35.0,입산자실화,전북,201206231320,산내, ,산130,능교,정읍,토,사,0.5,4,0.0,0.0,31.6,1.8,3.3
751,SW,SW,0.2,370,152,201206231312,0.0,0.0,47.0,논밭두렁소각,전남,201206231120,군남, ,267,대덕,영광,토,사,1.0,4,0.0,0.0,28.5,2.0,3.5
752,W,SW,0.7,16506,330,201206221630,44.1,0.0,41.0,작업장실화,강원,201206221300,서원, ,산23,유현,횡성,금,사,2.5,10,0.0,0.0,28.3,2.6,3.0
753,WNW,WSW,0.08,12811,528,201206211920,48.7,0.0,22.0,입산자실화,강원,201206211352,북방,강원,산20-1,부사원,홍천,목,사,0.5,9,83.8,94.0,31.5,1.9,4.8
754,E,NNE,0.1,8452,413,201206191530,54.3,0.0,40.0,입산자실화,강원,201206191117,남, ,산85-1,박암,춘천,화,사,3.5,7,0.0,0.0,27.7,2.1,4.7
755,NNE,WSW,0.5,1466,600,201206171730,62.1,0.0,54.0,영농쓰레기소각,전남,201206171130,남평, ,63-2 외 2,남석,나주,일,사,32.5,4,0.0,0.0,26.1,1.9,1.3
756,ENE,NE,0.05,4323,630,201206150300,56.8,0.0,57.0,입산자실화,강원,201206142130,동, ,산10-1,장학,춘천,목,사,3.5,2,0.0,0.0,22.8,3.0,4.6
757,SW,SW,0.01,500,50,201206142208,45.3,0.0,47.0,원인미상,서울,201206142118,시흥,서울,산91-4, ,금천,목,사,2.0,6,72.8,87.0,26.5,3.0,3.2
758,SSW,SSE,0.06,215,220,201206141910,62.1,0.0,47.0,입산자실화,충남,201206141650,장곡, ,55,월계,홍성,목,사,21.0,6,87.6,94.0,28.4,1.7,3.0
759,S,ESE,0.1,1000,400,201206141600,55.0,0.0,48.0,원인미상,세종,201206141200,조치원,중부,산2-1,신안,세종,목,사,21.0,2,71.0,86.0,26.2,2.4,3.0
760,SSE,W,0.15,144,255,201206131900,57.8,0.0,48.0,낙뢰,충남,201206131605,동남,충남,산1-7,은지,천안,수,사,7.5,1,36.1,86.0,27.0,1.8,3.2
761,정온,정온,0.08,0,431,201206100925,53.7,0.0,71.0,등산객실화,서울,201206100454,수유,북부,산127-1, ,강북,일,사,2.0,2,0.0,0.0,21.1,0.4,0.0
762,WNW,정온,1.0,0,530,201206081030,52.1,0.0,80.0,방화추정,경기,201206080500,장암, ,산19, ,의정부,금,사,0.5,22,45.8,58.0,19.1,0.8,0.0
763,SSW,SSW,0.1,2230,310,201205071230,47.8,0.0,31.0,쓰레기소각,경남,201206062120,곤명,경남,산43,장기,사천,일,사,0.5,3,83.9,94.0,18.5,2.2,1.5
764,SW,SW,0.1,2295,230,201206061830,53.0,0.0,49.0,낙뢰,경남,201206061600,서,경남,산170,서호,남해,수,사,4.5,7,69.4,87.0,27.0,1.9,2.3
765,WNW,WNW,0.1,2215,330,201206061400,56.3,0.0,46.0,성묘객실화,경북,201206061030,감포, ,산69,호동,경주,수,사,0.5,7,77.0,87.0,25.4,4.7,5.9
766,SW,W,0.07,1561,500,201206061020,50.3,0.0,77.0,원인미상,경남,201206060520,물금,경남,산165,범어,양산,수,사,0.5,12,47.4,58.0,18.7,2.4,2.1
767,WSW,SW,0.1,0,345,201206051500,53.9,0.0,65.0,대나무벌채 후 소각,충남,201206051115,비인, ,산41-2,남당,서천,화,사,2.5,6,56.1,76.0,24.0,1.7,2.4
768,SW,WSW,0.12,169,315,201206041630,45.3,0.0,37.0,산나물채취객실화,전북,201206041315,고산, ,산43,서봉,완주,월,사,8.0,5,0.0,0.0,27.8,2.7,3.7
769,W,NNW,1.6,0,545,201206030610,39.5,0.0,47.0,방화추정,서울,201206031225,상계, ,산44-2, ,노원,일,사,0.5,17,49.7,62.0,21.0,1.0,0.4
770,ESE,SSE,0.1,268,315,201206031500,62.4,0.0,48.0,대나무벌채 후 소각,경남,201206031145,청암, ,산84,상이리,하동,일,사,1.5,1,0.0,0.0,24.8,2.6,1.5
771,SE,SW,0.05,0,410,201206031530,58.2,0.0,48.0,무속인실화,대전,201206031120,갑,중부,산37-1, ,유성,일,사,1.0,4,0.0,0.0,24.9,1.9,2.0
772,W,W,0.03,0,134,201206021920,41.0,0.0,40.0,방화추정,서울,201206021746,상계, ,18629, ,노원,토,사,0.5,16,56.6,82.0,25.9,5.1,3.6
773,WNW,NW,0.2,0,230,201206021730,60.6,0.0,28.0,원인미상,전북,201206021500,공음,전북,산89,구암,고창,토,사,3.0,3,72.4,92.0,28.0,3.4,6.4
774,W,SE,0.03,0,151,201205311751,52.6,0.0,43.0,낙뢰,충북,201205311600,문의,충북,산87,구룡,청원,목,사,1.0,1,43.8,87.0,26.0,1.8,1.6
775,S,NE,0.01,256,40,201205300950,56.5,0.0,90.0,낙뢰,강원,201205300910,양구, ,산58,고대,양구,수,사,0.5,3,20.0,31.0,16.5,0.9,1.5
776,정온,WNW,0.1,0,605,201205301405,57.3,0.0,84.0,낙뢰,강원,201205300800,동, ,149-1,후동,홍천,수,사,1.0,3,23.0,36.0,14.7,0.2,0.9
777,ESE,NW,0.7,0,511,201205301240,42.2,0.0,67.0,낙뢰,세종,201205300729,전의,세종,산72-7,금사,세종,수,사,16.0,16,36.8,52.0,17.7,2.3,0.4
778,정온,SW,0.1,0,1200,201205301730,57.0,0.0,84.0,낙뢰,강원,201205300530,화촌, ,산64,장평,홍천,수,사,1.0,3,24.9,44.0,14.7,0.2,1.1
779,E,ENE,0.01,207,110,201205291740,51.8,0.0,39.0,낙뢰,경남,201205291630,산청, ,산80,차탄,산청,화,사,0.5,1,61.5,94.0,28.1,1.9,4.4
780,SSE,S,0.02,2939,125,201205291750,49.9,0.0,52.0,등산객실화,경남,201205291625,내서,경남,산132, ,창원 마산회원,화,사,0.5,4,85.2,94.0,25.2,3.5,3.7
781,W,W,0.5,2394,510,201205292120,45.5,0.0,15.0,농산폐기물소각,충남,201205291610,탄천,충남,산159,분강리,공주,화,사,17.5,15,0.0,0.0,27.9,2.6,4.9
782,SSE,S,0.02,80,215,201205291545,54.1,0.0,37.0,입산자실화,경남,201205291330,정곡, ,29,오방,의령,화,사,0.5,14,75.6,94.0,29.7,1.9,1.6
783,W,SE,0.01,945,207,201205291335,50.6,0.0,25.0,낙뢰,강원,201205291128,부론, ,산114-1,정산,원주,화,사,0.5,1,32.6,48.0,23.0,2.3,3.0
784,WNW,정온,1.0,4950,230,201205301800,37.6,0.0,40.0,굿당의 인등 낙하,세종,201205290330,남면,세종,산59-1,양화,세종,화,사,22.5,15,42.3,52.0,18.9,0.8,0.1
785,SSW,WSW,0.1,5176,251,201205282010,51.1,0.0,46.0,낙뢰,강원,201205281719,화촌,강원,산89,성산,홍천,월,사,1.0,1,45.8,60.0,26.0,2.3,3.5
786,SSE,N,0.28,10351,350,201205282020,48.1,0.0,59.0,낙뢰,경남,201205281630,유곡,경남,산65,칠곡,의령,월,사,0.5,13,0.0,0.0,22.8,3.3,1.6
787,SW,E,0.01,0,155,201205281700,42.1,0.0,55.0,낙뢰,경북,201205281505,임동,경북,산204,사월,안동,월,사,4.5,11,0.0,0.0,23.8,1.8,6.3
788,NW,WSW,0.01,1683,153,201205281510,52.8,0.0,44.0,낙뢰,강원,201205281317,갑천,북부,산34,병지방,홍천,월,사,1.0,1,37.8,56.0,25.0,1.5,4.2
789,E,SSE,0.05,612,55,201205281315,40.8,0.0,48.0,낙뢰,경북,201205281220,지보,경북,산26,마산,예천,월,사,6.5,11,77.0,94.0,22.6,2.5,1.9
790,NNW,SW,0.01,0,322,201205281440,50.8,0.0,41.0,낙뢰,강원,201205281218,여량,동부,270-1,유천,정선,월,사,0.5,1,27.5,44.0,23.9,1.4,3.3
791,NNE,NNW,0.07,4403,218,201205281250,55.0,0.0,55.0,낙뢰,강원,201205281032,동,강원,산14,덕치,홍천,월,사,1.0,1,26.9,42.0,21.6,1.3,1.1
792,W,정온,1.5,2221,426,201205290900,57.1,0.0,82.0,낙뢰,경북,201205280434,북,남부,산6,상당리,울진,월,사,5.0,3,65.0,78.0,16.3,2.6,0.0
793,W,NNE,4.5,57312,1822,201205281222,47.1,0.0,38.0,낙뢰,경북,201205271800,석보,남부,247 외 2,소계,영양,일,사,7.5,10,86.3,94.0,24.6,3.5,3.3
794,N,WNW,0.1,3193,149,201205271942,39.8,0.0,39.0,양봉작업,경북,201205271753,풍천,남부,산14,어담,안동,일,사,4.5,10,83.6,94.0,26.4,1.6,5.1
795,NW,ENE,0.01,0,130,201205271920,42.5,0.0,47.0,낙뢰,강원,201205271750,미로,강원,594,고천,삼척,일,사,0.5,10,80.5,94.0,23.2,2.7,3.4
796,SSW,W,0.01,1189,230,201205271840,45.1,0.0,68.0,낙뢰,강원,201205271610,화촌,북부,산64,장평,홍천,일,사,3.0,10,34.9,52.0,20.6,1.3,0.9
797,W,S,0.1,0,156,201205271620,48.0,0.0,62.0,낙뢰,강원,201205271424,남,강원,399,북쌍,영월,일,사,1.0,10,32.4,80.0,18.0,5.4,0.7
798,SSW,WSW,0.1,0,200,201205261430,46.4,0.0,32.0,쓰레기소각,경기,201205261230,가산,경기,23682,우금,포천,토,사,1.5,9,83.5,94.0,23.4,2.3,5.9
799,NNE,N,0.05,0,330,201205261330,56.3,0.0,29.0,산나무채취객,경북,201205261000,기성,남부,산87,방율,울진,토,사,5.0,1,56.1,94.0,22.8,2.4,1.0
800,WNW,W,0.3,0,300,201205261300,60.2,0.0,34.0,입산자실화,전남,201205261000,이양,전남,산12-1,품평,화순,토,사,0.5,1,73.0,87.0,22.6,1.4,3.3
801,SW,SSW,0.2,0,230,201205251230,51.9,0.0,75.0,입산자실화,전남,201205251000,옥룡,전남,산114 외 2,추산,광양,금,사,17.5,11,0.0,0.0,19.6,0.8,2.5
802,ESE,E,0.1,2370,100,201205241620,48.5,0.0,36.0,폐기물소각,울산,201205241520,웅촌,울산,산90-1,통천,울주,목,사,2.0,9,82.8,94.0,26.6,5.6,6.5
803,WNW,NN,0.3,509,405,201205232030,49.0,0.0,25.0,원인미상,전북,201205231624,산내,전북,산67,중황,남원,수,사,1.0,8,0.0,0.0,29.6,1.8,1.9
804,N,정온,0.04,0,300,201205230840,51.2,0.0,87.0,입산자실화,강원,201205230540,상서,북부,산1,노동,화천,수,사,4.0,6,21.2,38.0,14.6,0.8,0.1
805,WSW,E,0.6,0,200,201205221526,33.0,0.0,21.0,방화추정,서울,201205221326,상계,서울,산3-6, ,노원,화,사,0.5,5,80.2,92.0,27.5,2.3,1.7
806,NNW,N,0.1,12770,324,201205211930,55.8,0.0,44.0,입산자실화,경기,201205182254,용문,북부,65,신점,양평,금,사,1.5,1,37.4,56.0,17.4,1.7,0.3
807,ESE,SSW,0.1,4759,145,201205181850,54.3,0.0,33.0,입산자실화,울산,201205181705,언양,울산,산148,반천,울주,금,사,2.0,3,59.0,94.0,21.9,2.6,3.2
808,SE,S,0.3,5218,145,201205121330,63.8,0.0,51.0,산나물채취객실화,경북,201205121145,영양,남부,산22-1,화천,영양,토,사,0.5,1,78.0,87.0,17.2,2.9,3.7
809,WNW,NNW,0.1,1691,210,201205111520,56.8,0.0,51.0,입산자실화,충남,201205111310,석성,충남,산13,봉정,부여,금,사,14.5,16,60.4,73.0,19.8,1.8,0.8
810,SW,S,0.1,0,234,201205091647,49.5,0.0,39.0,입산자실화,충북,201205091413,황간,충북,산4-1,남성,영동,수,사,2.5,7,75.9,94.0,25.6,2.4,3.2
811,WSW,S,0.05,4962,121,201205071615,24.1,0.0,20.0,입산자실화,강원,201205071454,갈말,강원,산5,지경,철원,월,사,26.0,12,83.9,96.0,24.1,3.2,4.6
812,NNE,NW,0.1,12205,707,201205070800,34.1,0.0,46.0,등산객실화,경기,201205071253,별내,경기,산104,청학,남양주,월,사,2.0,10,59.0,86.0,14.3,0.5,0.6
813,SW,NNE,0.03,0,204,201205061930,35.5,0.0,15.0,등산객실화,경기,201205061726,효자,경기,산1-17, ,고양 덕양,일,사,2.0,10,79.6,84.0,22.0,6.0,0.6
814,NW,NNW,0.1,540,150,201205061800,34.2,0.0,13.0,입산자실화,대구,201205061610,중대,대구,산1-1, ,동,일,사,0.5,3,86.0,94.0,26.2,3.2,5.7
815,NW,N,0.05,1976,52,201205061445,37.9,0.0,12.0,입산자실화,강원,201205061355,호저,강원,산77-20,대덕,원주,일,사,4.5,3,85.4,94.0,22.7,5.0,4.9
816,NNW,WSW,0.5,5734,340,201205061730,43.2,0.0,17.0,입산자실화,전북,201205061350,안천,전북,산108,신괴,진안,일,사,1.5,4,87.5,94.0,23.1,3.4,8.3
817,W,WSW,0.3,1425,235,201205061615,39.6,0.0,18.0,입산자실화,경남,201205061340,위천,경남,산2-1,장기,거창,일,사,1.0,4,87.3,94.0,24.0,5.3,5.9
818,WNW,W,0.1,0,427,201205061800,42.3,0.0,13.0,입산자실화,충북,201205061333,소이,충북,산21-7,중동리,음성,일,사,2.0,3,77.4,87.0,23.1,5.7,7.3
819,NW,NNW,0.05,6688,155,201205061450,48.7,0.0,21.0,입산자실화,울산,201205061255,주전,울산,산200-4, ,동,일,사,8.0,3,84.7,92.0,23.5,3.2,4.3
820,NNE,SSW,0.1,5332,450,201205051205,60.5,0.0,52.0,입산자실화,경북,201205050715,창수,남부,산1,수리,영덕,토,사,1.5,2,58.8,78.0,18.6,1.3,1.0
821,SSW,NW,0.1,0,310,201205041620,55.0,0.0,44.0,입산자실화,충남,201205041310,광시,충남,산4,가덕,예산,금,사,9.0,9,85.3,94.0,23.1,2.9,4.0
822,SE,SSE,0.12,5549,220,201205011630,55.2,0.0,82.0,입산자실화,강원,201205011410,가곡,동부,산41,탕곡,삼척,화,사,20.8,2,61.7,92.0,17.4,2.6,5.5
823,ESE,E,3.0,0,504,201204302015,49.0,0.0,30.0,묘지이장작업실화,충남,201204301511,해미,충남,산16-2,황락,서산,월,사,14.5,5,86.5,94.0,26.1,6.1,10.1
824,NNW,NNW,0.01,7427,140,201204301155,51.6,0.0,56.0,입산자실화,강원,201204301015,동산,강원,산172,군자,춘천,월,사,2.0,4,56.6,66.0,19.0,1.0,1.8
825,ESE,ESE,0.01,8196,47,201204241520,52.6,0.0,38.0,입산자실화,강원,201204241433,귀운,강원,산74, ,동해,화,사,2.0,2,85.4,94.0,22.3,2.7,3.4
826,N,SW,0.5,0,152,201204241345,63.2,0.0,75.0,담뱃불실화,제주,201204241153,애월,제주,산183-6,광령,제주,화,사,86.0,3,27.7,44.0,18.3,2.7,4.6
827,ESE,ENE,0.05,3974,50,201204201840,41.2,0.0,39.0,쓰레기소각,강원,201204201750,주천,강원,산119,신일,영월,금,사,3.5,9,83.3,94.0,20.4,3.4,4.5
828,S,SW,1.5,68215,340,201204191840,40.6,0.0,9.0,입산자실화,강원,201204191500,청일,강원,산49,유동,횡성,목,사,1.5,8,85.3,96.0,24.8,2.3,5.8
829,SSE,E,0.1,2594,238,201204191700,42.7,0.0,35.0,담뱃불실화,경북,201204191422,남후,경북,산81,광음,안동,목,사,0.5,6,82.9,87.0,19.6,4.4,5.0
830,SSE,SSE,0.3,810,100,201204181730,45.4,0.0,31.0,담뱃불실화,전남,201204181630,군내,전남,산73-1,둔전,진도,수,사,1.5,5,83.8,94.0,16.1,5.4,6.5
831,E,NE,0.1,0,45,201204181700,36.9,0.0,18.0,어린이불장난,대전,201204181615,복수,대전,산19-6, ,서,수,사,0.5,5,88.5,92.0,23.3,2.8,1.6
832,WNN,SSW,0.15,4732,117,201204181726,46.3,0.0,21.0,입산자실화,강원,201204181609,갈말,강원,산277,문혜,철원,수,사,7.5,7,83.9,96.0,20.9,1.9,3.5
833,SE,S,0.16,9619,410,201204181900,45.1,0.0,24.0,등산객부주의,광주,201204181450,송학,광주,산501, ,광산,수,사,1.0,5,90.5,94.0,22.0,2.3,4.5
834,SE,ESE,0.05,1561,145,201204171810,41.5,0.0,26.0,농산페기물소각,경북,201204171625,평은,경북,산25,용혈,영주,화,사,1.5,6,85.3,94.0,19.2,2.9,3.0
835,SE,W,0.3,7472,310,201204171900,41.5,0.0,25.0,농산페기물소각,경북,201204171550,문정,경북,산68, ,영주,화,사,1.5,6,83.1,92.0,19.6,2.3,2.7
836,NW,NNW,2.0,0,205,201204171735,49.6,0.0,22.0,입산자실화,충남,201204171530,반포,충남,산18,학봉,공주,화,사,0.5,6,71.3,87.0,19.4,2.9,1.1
837,N,WNW,0.15,1976,100,201204171630,63.7,0.0,28.0,쓰레기소각,전남,201204171530,엄다,전남,산470,성천,함평,화,사,1.0,4,89.7,92.0,15.8,3.4,5.3
838,NNW,NW,0.1,5314,55,201204171615,44.9,0.0,24.0,건축물화재비화,강원,201204171520,북,강원,산159,문곡,영월,화,사,3.5,6,86.6,94.0,20.3,1.7,2.7
839,W,SW,0.5,0,228,201204171546,51.3,0.0,27.0,쓰레기소각,충남,201204171318,정안,충남,산37-1,평정,공주,화,사,0.5,6,69.9,87.0,18.5,2.2,3.4
840,SW,SSW,0.05,1100,135,201204171435,59.1,0.0,59.0,담뱃불실화,경남,201204171300,도산,경남,산90-6,관덕,통영,일,사,4.0,4,0.0,0.0,16.9,3.3,5.0
841,정온,SSW,0.03,2267,133,201204152150,45.3,0.0,40.0,벌채작업에 전선줄 스파크,강원,201204152017,도계,강원,산138-7,신리,삼척,일,사,3.5,4,44.9,84.0,13.7,0.3,1.3
842,NW,W,2.0,37346,310,201204151700,54.4,0.0,19.0,입산자실화,전북,201204151350,웅포,서부,산10,맹산,익산,일,사,1.0,2,68.4,86.0,23.7,2.0,4.2
843,SSW,SSW,0.01,1007,48,201204151258,50.5,0.0,28.0,입산자실화,경북,201204151210,고경,경북,산66-1,파계,영천,일,사,2.0,2,86.3,94.0,21.8,1.3,3.1
844,NNW,NW,0.5,74594,1621,201204150530,56.5,0.0,35.0,무속인실화,대전,201204142151,갑,중부,산37-1, ,유성,토,사,0.5,1,27.1,38.0,14.2,1.1,2.4
845,SSE,W,0.3,1440,250,201204142210,53.1,0.0,51.0,입산자실화,전남,201204141920,동강,전남,산73,대강,고흥,토,사,1.0,1,54.0,73.0,15.4,1.3,1.5
846,WNW,WNW,0.15,3109,58,201204092036,39.7,0.0,34.0,등산객실화,서울,201204091938,중곡,서울,산143-126, ,광진,월,사,35.0,6,81.8,92.0,18.9,3.5,3.4
847,WSW,SSE,0.02,2033,151,201204091820,41.2,0.0,12.0,산나물채취객실화,강원,201204091629,동,강원,산1-1,품걸,춘천,월,사,24.0,6,85.0,98.0,24.2,2.1,1.7
848,SW,S,0.02,1641,221,201204082250,34.8,0.0,60.0,등산객실화,서울,201204082029,진관,서울,산25, ,은평,일,사,35.0,5,45.1,48.0,12.2,3.8,3.2
849,SSW,S,0.1,0,45,201204081750,34.4,0.0,22.0,낚시군실화,대전,201204081705,마산,대전,산1-37, ,동,일,사,15.0,5,87.3,94.0,18.3,3.7,5.9
850,WSW,SW,0.5,592,130,201204081700,37.9,0.0,30.0,농산폐기물소각,전남,201204081530,문평,전남,산67,학교,나주,일,사,19.5,5,90.0,94.0,21.7,5.3,4.8
851,WNW,NNW,0.01,1809,104,201204081540,35.7,0.0,17.0,등산로데크용접불씨,경북,201204081436,도산,경북,산162,가송,안동,일,사,16.0,5,81.8,94.0,22.3,5.3,5.6
852,WNW,W,1.5,37433,240,201204081700,26.3,0.0,13.0,담뱃불실화,경북,201204081420,기산,경북,산55-1,영리,칠곡,일,사,15.5,5,67.6,80.0,24.4,3.8,7.1
853,WSW,WSW,1.3,0,105,201204081445,41.7,0.0,53.0,입산자실화,인천,201204081340,양도,인천,산58,길정,강화,일,사,21.5,5,55.5,0.0,13.7,4.7,9.4
854,W,S,0.1,0,49,201204081210,42.8,0.0,24.0,성묘객쓰레기소각,충북,201204081121,청성,충북,산77-20,구음,옥천,일,사,21.0,5,66.7,80.0,16.9,5.1,4.8
855,WSW,NW,0.2,2100,242,201204080820,37.4,0.0,43.0,입산자실화,경남,201204080538,장승포,경남,산1, ,거제,일,사,22.5,5,53.7,59.0,10.8,2.0,1.4
