,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
612,W,SSW,0.15,8282,50,201303171405,24.0,0.0,0.0,원인미상,울산,201303171315,범서,울산,산42,두산,울주,일, ,19.5,14,82.6,94.0,18.0,3.7,5.4
613,N,W,0.1,0,110,201303171320,3.0,0.0,0.0,논밭두렁소각,충북,201303171210,진천,충북,산25-1,장관,진천,일, ,21.0,15,69.3,86.0,15.9,1.6,3.2
614,WSW,SSW,0.01,0,11,201303161600,27.0,0.0,0.0,어린이불장난,부산,201303161549,명장,부산,산103-3, ,동래,토, ,16.5,3,85.6,92.0,17.2,3.5,6.7
615,W,NNW,1.0,5370,33,201303161550,13.0,0.0,0.0,쓰레기소각,전남,201303161517,춘양,전남,산90,우봉,화순,토, ,29.5,15,85.7,94.0,17.2,1.6,4.3
616,S,SE,0.02,2000,38,201303161520,24.0,0.0,0.0,입산자실화,부산,201303161442,우,부산,산133-1, ,해운대,토, ,26.0,15,86.2,94.0,17.2,3.6,2.9
617,WNW,ESE,0.2,18390,1030,201303161055,28.0,0.0,0.0,농산폐기물소각,강원,201303161240,강현,강원,산54,방축,양양,토, ,18.8,3,79.8,98.0,13.0,2.2,5.2
618,SSW,WSW,0.02,0,110,201303161150,46.0,0.0,0.0,쓰레기소각,전북,201303161040,동산,전북,산40,신월,완주,토, ,26.0,15,42.7,60.0,6.3,1.2,2.0
619,WSW,WSW,0.2,0,45,201303121515,36.0,0.0,0.0,쓰레기소각,충북,201303121430,청안,충북,산34,백봉,괴산,화, ,8.0,7,57.4,66.0,15.6,1.4,2.8
620,SE,E,0.2,2233,140,201303121500,59.0,0.0,0.0,논두렁소각,전남,201303121320,신지,전남,산110-2,대곡,완도,화, ,17.0,1,59.9,73.0,15.0,5.9,4.8
621,SSW,SE,0.3,150,245,201303121600,21.0,0.0,0.0,논두렁소각,전북,201303121315,금산,전북,산20,금성,김제,화, ,8.0,11,77.7,87.0,17.7,3.3,4.8
622,S,SSE,0.2,3101,135,201303111705,34.0,0.0,0.0,농산폐기물소각,전남,201303111530,병영,전남,산122-1,삭양,강진,월, ,8.0,1,80.7,87.0,13.9,4.6,4.2
623,WSW,ENE,0.01,20,48,201303111530,9.0,0.0,0.0,원인미상,전북,201303111442,이백,전북,산79-1,서곡,남원,월, ,6.0,7,69.3,87.0,13.7,2.2,3.0
624,NW,W,0.1,1886,40,201303111500,43.0,0.0,0.0,묶밭소각,전남,201303111420,서호,전남,산111-1,성재,영암,월, ,7.6,7,73.3,86.0,11.0,2.5,4.3
